ID_Equipe,Semestre,delta_score_t3_minus_t1,score_trajectory_group,planning_scope_tier,final7_commit_share_pct,final7_clean_churn_share_pct,active_day_count,project_span_days,active_day_share,max_inactivity_gap_days,median_inactivity_gap_days,commit_weekly_cv,clean_churn_weekly_cv,temporal_entropy_commits,temporal_entropy_clean_churn,author_count,max_author_share,author_gini,m7_window_count,m7_inactive_window_share,regularity_active_day_share_component,regularity_commit_entropy_component,regularity_clean_churn_entropy_component,regularity_commit_weekly_cv_component,regularity_clean_churn_weekly_cv_component,regularity_m7_activity_component,regularity_commit_distribution_component,regularity_clean_churn_distribution_component,regularity_index
TEAM_01,2025.2,-0.03125,stable,high_repository_visible_planning,57.89473684210526,42.40405962575325,7,90,0.07777777777777778,58,18.0,2.0953714986730927,2.0259524868941776,0.408172277271908,0.3081870816945679,1,1.0,0.0,71,0.7887323943661971,0.07777777777777778,0.408172277271908,0.3081870816945679,0.0,0.28135702044008715,0.21126760563380287,0.42105263157894735,0.5759594037424676,0.2854717247674448
TEAM_01,2026.1,0.5416666666666667,improved,lower_repository_visible_planning,33.333333333333336,61.836387681843945,3,106,0.02830188679245283,76,51.5,2.0816659994661326,2.7291610862563065,0.23557985137088805,0.14256847713977455,1,1.0,0.0,71,0.8028169014084507,0.02830188679245283,0.23557985137088805,0.14256847713977455,0.006540844530737999,0.03191586801085455,0.19718309859154926,0.6666666666666666,0.3816361231815606,0.21129910203556054
TEAM_02,2025.2,-0.25,declined,lower_repository_visible_planning,54.22885572139303,79.86525006478362,30,46,0.6521739130434783,3,1.5,1.0567660742940308,1.7375582395582252,0.7611546335199456,0.5133291456486304,5,0.4770642201834862,0.418348623853211,71,0.28169014084507044,0.6521739130434783,0.7611546335199456,0.5133291456486304,0.49566648445717876,0.38365581694896733,0.7183098591549295,0.4577114427860697,0.20134749935216378,0.5229185993639204
TEAM_02,2026.1,0.0416666666666669,stable,high_repository_visible_planning,28.571428571428573,24.19753086419753,24,85,0.2823529411764706,13,3.0,1.1108004100739286,1.125167743504737,0.6469074922977034,0.5770763549440266,7,0.25,0.2571428571428571,71,0.2112676056338028,0.2823529411764706,0.6469074922977034,0.5770763549440266,0.4698790115369279,0.600882101170824,0.7887323943661972,0.7142857142857142,0.7580246913580246,0.6047675876419861
TEAM_03,2025.2,0.15625,improved,lower_repository_visible_planning,100.0,100.0,2,2,1.0,0,0.0,0.0,0.0,0.5032583347756457,0.3890789129721002,3,0.4444444444444444,0.1481481481481481,71,0.9014084507042254,1.0,0.5032583347756457,0.3890789129721002,1.0,1.0,0.09859154929577463,0.0,0.0,0.49886609963044004
TEAM_03,2026.1,0.1666666666666669,improved,high_repository_visible_planning,21.428571428571427,1.606864274570983,18,88,0.20454545454545456,24,2.0,1.2480188381623745,1.39071694400655,0.5861007230049902,0.46057935577249665,4,0.3333333333333333,0.1833333333333333,71,0.38028169014084506,0.20454545454545456,0.5861007230049902,0.46057935577249665,0.40439256764125586,0.5066868671251681,0.619718309859155,0.7857142857142857,0.9839313572542902,0.568958615114637
TEAM_04,2025.2,0.3333333333333335,improved,high_repository_visible_planning,52.94117647058823,62.16216216216216,15,53,0.2830188679245283,7,3.5,1.3605921772023974,1.5536851310066124,0.6216097645383668,0.41098377408809883,5,0.7037037037037037,0.5629629629629631,71,0.18309859154929578,0.2830188679245283,0.6216097645383668,0.41098377408809883,0.3506678037455405,0.4488790240307119,0.8169014084507042,0.47058823529411764,0.3783783783783784,0.4726284070563059
TEAM_04,2026.1,0.5416666666666665,improved,high_repository_visible_planning,58.333333333333336,92.0085066162571,10,112,0.08928571428571429,95,3.0,2.048034287907418,2.8191362672670137,0.4509495788272492,0.2869088386542521,2,0.7142857142857143,0.2142857142857142,71,0.8309859154929577,0.08928571428571429,0.4509495788272492,0.2869088386542521,0.022591321298228717,0.0,0.16901408450704225,0.41666666666666663,0.07991493383742909,0.1894163922595728
TEAM_05,2025.2,0.40625,improved,lower_repository_visible_planning,100.0,100.0,1,1,1.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,71,0.9014084507042254,1.0,0.0,0.0,1.0,1.0,0.09859154929577463,0.0,0.0,0.3873239436619718
TEAM_05,2026.1,-0.1249999999999995,declined,high_repository_visible_planning,11.570247933884298,10.074643543556968,33,96,0.34375,12,3.5,0.7732022228893594,1.6333086956588028,0.7080576821306062,0.5012653730994,4,0.5,0.3571428571428572,71,0.14084507042253522,0.34375,0.7080576821306062,0.5012653730994,0.6309951608204107,0.42063506662549544,0.8591549295774648,0.884297520661157,0.8992535645644303,0.6559261621848707
TEAM_07,2025.2,0.09375,stable,high_repository_visible_planning,8.219178082191782,6.368620835090679,16,73,0.2191780821917808,22,2.0,1.379962768160332,1.74443467539482,0.575969473185217,0.45842999271520396,3,0.5,0.2222222222222223,71,0.4507042253521127,0.2191780821917808,0.575969473185217,0.45842999271520396,0.34142333756367205,0.38121661742660407,0.5492957746478873,0.9178082191780822,0.9363137916490932,0.5474544110696926
TEAM_08,2025.2,0.0729166666666669,stable,lower_repository_visible_planning,3.8461538461538463,0.0,8,42,0.19047619047619047,18,8.0,1.913050786991675,1.9768147511361445,0.4753765306401866,0.39501845236324123,3,0.5,0.25,71,0.5492957746478874,0.19047619047619047,0.4753765306401866,0.39501845236324123,0.08701116331727976,0.2987870880563891,0.45070422535211263,0.9615384615384616,1.0,0.4823640139679827
TEAM_09,2025.2,0.3333333333333335,improved,lower_repository_visible_planning,48.598130841121495,26.70546756953383,19,72,0.2638888888888889,24,3.0,1.5914765547272947,1.6651668890077707,0.5639044321401104,0.4746067063711207,5,0.4423076923076923,0.4153846153846154,71,0.323943661971831,0.2638888888888889,0.5639044321401104,0.4746067063711207,0.24048000283715454,0.409334373672525,0.676056338028169,0.514018691588785,0.7329453243046617,0.4844043447289269
TEAM_10,2025.2,1.0625,improved,lower_repository_visible_planning,38.888888888888886,27.585171844514484,6,31,0.1935483870967742,14,6.0,0.8351831321318283,0.9690604144347171,0.4618346018066888,0.4342411037239308,3,0.4285714285714285,0.1904761904761904,71,0.6197183098591549,0.1935483870967742,0.4618346018066888,0.4342411037239308,0.6014152465752669,0.6562562705157335,0.3802816901408451,0.6111111111111112,0.7241482815548552,0.5078545865656507
