ID_Equipe,Semestre,window_end_day,rolling_7d_value,tier,evaluator_score_t3,planning_artifact_present_t1,planning_scope_log1p_t1,team_full_period_rolling_max,team_full_period_rolling_intensity_pct,activity_metric
TEAM_03,2025.2,-95,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-94,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-93,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-92,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-91,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-90,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-89,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-88,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-87,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-86,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-85,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-84,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-83,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-82,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-81,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-80,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-79,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-78,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-77,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-76,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-75,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-74,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-73,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-72,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-71,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-70,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-69,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-68,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-67,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-66,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-65,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-64,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-63,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-62,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-61,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-60,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-59,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-58,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-57,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-56,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-55,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-54,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-53,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-52,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-51,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-50,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-49,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-48,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-47,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-46,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-45,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-44,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-43,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-42,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-41,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-40,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-39,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-38,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-37,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-36,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-35,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-34,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-33,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-32,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-31,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-30,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-29,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-28,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-27,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-26,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-25,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-24,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-23,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-22,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-21,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-20,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-19,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-18,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-17,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-16,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-15,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-14,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-13,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-12,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-11,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-10,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-9,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-8,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-7,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-6,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-5,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-4,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-3,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-2,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,-1,0.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,0.0,commits
TEAM_03,2025.2,0,9.0,Lower evaluator score / weaker planning,2.40625,False,0.0,9.0,100.0,commits
TEAM_03,2026.1,-110,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-109,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-108,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-107,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-106,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-105,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-104,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-103,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-102,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-101,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-100,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-99,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-98,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-97,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-96,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-95,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-94,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-93,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-92,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-91,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-90,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-89,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-88,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-87,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-86,1.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,4.761904761904762,commits
TEAM_03,2026.1,-85,1.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,4.761904761904762,commits
TEAM_03,2026.1,-84,1.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,4.761904761904762,commits
TEAM_03,2026.1,-83,1.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,4.761904761904762,commits
TEAM_03,2026.1,-82,1.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,4.761904761904762,commits
TEAM_03,2026.1,-81,1.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,4.761904761904762,commits
TEAM_03,2026.1,-80,1.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,4.761904761904762,commits
TEAM_03,2026.1,-79,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-78,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-77,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-76,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-75,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-74,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-73,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-72,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-71,1.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,4.761904761904762,commits
TEAM_03,2026.1,-70,2.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,9.523809523809524,commits
TEAM_03,2026.1,-69,3.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,14.285714285714286,commits
TEAM_03,2026.1,-68,6.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,28.571428571428573,commits
TEAM_03,2026.1,-67,8.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,38.095238095238095,commits
TEAM_03,2026.1,-66,8.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,38.095238095238095,commits
TEAM_03,2026.1,-65,13.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,61.904761904761905,commits
TEAM_03,2026.1,-64,12.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,57.142857142857146,commits
TEAM_03,2026.1,-63,11.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,52.38095238095238,commits
TEAM_03,2026.1,-62,10.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,47.61904761904762,commits
TEAM_03,2026.1,-61,7.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,33.333333333333336,commits
TEAM_03,2026.1,-60,7.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,33.333333333333336,commits
TEAM_03,2026.1,-59,11.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,52.38095238095238,commits
TEAM_03,2026.1,-58,6.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,28.571428571428573,commits
TEAM_03,2026.1,-57,6.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,28.571428571428573,commits
TEAM_03,2026.1,-56,11.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,52.38095238095238,commits
TEAM_03,2026.1,-55,11.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,52.38095238095238,commits
TEAM_03,2026.1,-54,21.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,100.0,commits
TEAM_03,2026.1,-53,19.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,90.47619047619048,commits
TEAM_03,2026.1,-52,15.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,71.42857142857143,commits
TEAM_03,2026.1,-51,15.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,71.42857142857143,commits
TEAM_03,2026.1,-50,15.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,71.42857142857143,commits
TEAM_03,2026.1,-49,10.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,47.61904761904762,commits
TEAM_03,2026.1,-48,10.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,47.61904761904762,commits
TEAM_03,2026.1,-47,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-46,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-45,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-44,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-43,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-42,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-41,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-40,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-39,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-38,2.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,9.523809523809524,commits
TEAM_03,2026.1,-37,2.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,9.523809523809524,commits
TEAM_03,2026.1,-36,2.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,9.523809523809524,commits
TEAM_03,2026.1,-35,4.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,19.047619047619047,commits
TEAM_03,2026.1,-34,4.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,19.047619047619047,commits
TEAM_03,2026.1,-33,5.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,23.80952380952381,commits
TEAM_03,2026.1,-32,12.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,57.142857142857146,commits
TEAM_03,2026.1,-31,10.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,47.61904761904762,commits
TEAM_03,2026.1,-30,12.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,57.142857142857146,commits
TEAM_03,2026.1,-29,12.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,57.142857142857146,commits
TEAM_03,2026.1,-28,15.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,71.42857142857143,commits
TEAM_03,2026.1,-27,15.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,71.42857142857143,commits
TEAM_03,2026.1,-26,14.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,66.66666666666667,commits
TEAM_03,2026.1,-25,8.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,38.095238095238095,commits
TEAM_03,2026.1,-24,8.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,38.095238095238095,commits
TEAM_03,2026.1,-23,6.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,28.571428571428573,commits
TEAM_03,2026.1,-22,6.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,28.571428571428573,commits
TEAM_03,2026.1,-21,1.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,4.761904761904762,commits
TEAM_03,2026.1,-20,1.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,4.761904761904762,commits
TEAM_03,2026.1,-19,1.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,4.761904761904762,commits
TEAM_03,2026.1,-18,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-17,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-16,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-15,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-14,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-13,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-12,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-11,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-10,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-9,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-8,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-7,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-6,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-5,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-4,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-3,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-2,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,-1,0.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,0.0,commits
TEAM_03,2026.1,0,15.0,High evaluator score + good planning,2.416666666666667,True,4.74493212836325,21.0,71.42857142857143,commits
TEAM_04,2025.2,-110,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-109,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-108,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-107,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-106,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-105,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-104,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-103,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-102,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-101,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-100,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-99,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-98,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-97,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-96,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-95,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-94,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-93,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-92,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-91,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-90,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-89,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-88,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-87,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-86,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-85,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-84,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-83,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
TEAM_04,2025.2,-82,0.0,High evaluator score + good planning,2.4583333333333335,True,5.4510384535657,27.0,0.0,commits
